Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-03-12,57337.0701089277,56832.9223189237,58150.1840942083,55116.258354667
BTC,2021-03-13,56398.7597799783,57374.5522658696,57734.0868811026,56124.1499937536
